,user_id,age,gender,account_created,country,num_friends,num_followers,posts_count,likes_received,comments_received,shares_count,profile_completeness,last_login,is_verified,language,device_type,account_type,engagement_rate,monthly_active,status
37,38,72.0,F,2020-09-13 18:51:33.093231,Brazil,,7089.0,117,36166,6814,415,56,2024-12-09 18:51:33.149430,False,German,Tablet,Business,31.97,True,Active
38,39,26.0,F,2022-01-14 18:51:33.093236,Brazil,1128.0,153.0,375,26319,2426,3081,33,,False,Chinese,Tablet,Business,53.41,False,Active
39,40,21.0, F,2025-08-21 18:51:33.093241,Australia,,6763.0,382,20394,6758,2889,98,2025-01-12 18:51:33.149441,False,Chinese,Mobile,Creator,9.48,False,Active
40,41,65.0,M,2021-06-21 18:51:33.093247,France,132.0,6459.0,80,20532,4742,1600,44,2024-12-20 18:51:33.149446,False,English,Desktop,Business,95.21,True,Active
41,42,14.0,M,2021-09-01 18:51:33.093253,Canada,4665.0,4066.0,397,12657,1531,4273,23,2025-08-21 18:51:33.149452,False,Chinese,Tablet,Personal,97.94,False,Inactive
42,43,72.0,M,2018-11-01 18:51:33.093258,Canada,4220.0,810.0,449,36736,4699,1200,85,2025-09-30 18:51:33.149458,False,English,Mobile,Personal,7.33,False,Active
43,44,56.0,F,2020-02-28 18:51:33.093264,,3539.0,150.0,410,15453,1401,1874,62,,False,Chinese,Desktop,Business,4.04,True,Inactive
44,45,20.0,F,2024-01-19 18:51:33.093269,Canada,2988.0,8137.0,309,43617,5858,4672,45,2025-08-23 18:51:33.149471,False,English,Desktop,Personal,48.72,False,Active
45,46,,,2020-09-06 18:51:33.093278,###,4302.0,9270.0,494,35445,654,3097,34,2024-12-21 18:51:33.149481,False,French,Tablet,Business,14.35,True,Inactive
46,47,47.0,M,2022-05-28 18:51:33.093284,France,3293.0,778.0,343,18789,8966,3268,25,,False,Spanish,Desktop,Business,13.87,False,Active
47,48,48.0,F,2019-07-31 18:51:33.093289,,311.0,4249.0,443,10300,6622,1433,56,2024-11-04 18:51:33.149492,False,English,Desktop,Business,36.76,True,Inactive
48,49,62.0,M,2020-03-04 18:51:33.093295,India,,,167,24030,6053,4837,62,,False,Chinese,Mobile,personal,95.83,False,Active
49,50,16.0,F,2024-04-24 18:51:33.093303,,,7667.0,172,17659,5511,3549,61,2024-12-11 18:51:33.149502,False,German,Mobile,Personal,93.68,True,Active
50,51,14.0,,2018-02-25 18:51:33.093318,"USA
",,4596.0,354,45815,3823,1776,32,2025-06-15 18:51:33.149508,False,Chinese,Mobile,Creator,92.79,True,Inactive
51,52,18.0,M,2023-10-13 18:51:33.093332,Canada,401.0,7357.0,323,45831,7631,3875,35,2025-09-14 18:51:33.149513,False,Spanish,Mobile,Personal,16.83,True,Active
52,53,66.0,Other,2022-04-15 18:51:33.093341,UK,1596.0,2553.0,217,40083,8801,2985,61,,False,Chinese,Mobile,Creator,8.5,False,Active
53,54,16.0,M,2020-03-01 18:51:33.093351,Australia,121.0,4103.0,227,42029,384,3894,57,2025-06-17 18:51:33.149524,False,Chinese,Mobile,personal,11.02,True,Active
54,55,66.0,F,2022-12-21 18:51:33.093361,###,,5804.0,451,33909,8909,2311,85,2025-03-05 18:51:33.149529,False,German,Desktop,Creator,59.01,True,Active
55,56,75.0,F,2019-10-06 18:51:33.093369,Australia,105.0,4564.0,190,31836,3158,1724,84,2025-05-16 18:51:33.149535,True,English,Mobile,Creator,33.92,True,Active
56,57,,Other,2020-02-29 18:51:33.093374,India,1059.0,6464.0,225,34334,191,2074,24,2025-04-10 18:51:33.149540,False,French,Desktop,Business,87.53,True,Active
57,58,56.0,F,2021-08-13 18:51:33.093380,USA,4167.0,6715.0,460,40148,8161,1274,49,2026-09-22 18:51:33.277672,False,,Mobile,Business,65.89,True,Active
58,59,46.0,M,2020-08-04 18:51:33.093387,Germany,4663.0,3678.0,167,39065,6785,507,62,2024-12-19 18:51:33.149551,False,Spanish,Tablet,Business,99.81,False,Inactive
59,60,150.0,F,2024-07-01 18:51:33.093396,Brazil,3238.0,3705.0,296,27102,2743,702,51,2025-09-20 18:51:33.149556,False,German,Desktop,Creator,246.83538270994563,True,Active
60,61,26.0,F,2019-12-25 18:51:33.093407,Canada,1244.0,3358.0,188,23998,9834,3487,86,2025-01-28 18:51:33.149561,False,English,Mobile,business,57.07,True,Active
61,62,60.0,M,2025-03-25 18:51:33.093415,,75.0,9044.0,192,41875,4944,827,86,2025-03-21 18:51:33.149567,False,Spanish,Desktop,Business,83.14,True,Inactive
62,63,27.0,Other,2024-12-08 18:51:33.093425,India,1009.0,4182.0,0,28949,8350,3491,61,2024-12-21 18:51:33.149572,True,French,Desktop,Creator,16.03,True,Active
63,64,74.0,Other,2020-06-03 00:00:00.000000,Australia,,,8,4536,3385,823,24,2024-12-15 18:51:33.149578,False,French,Mobile,Business,86.02,True,Inactive
64,65,52.0,F,2023-04-04 18:51:33.093443,Canada,2275.0,5200.0,74,1693,7158,31335,78,2024-10-18 18:51:33.149583,False,Chinese,Mobile,Business,71.59,True,Active
65,66,65.0,M,2019-05-17 18:51:33.093452,Australia,3808.0,4629.0,335,21657,2009,892,42,2025-03-17 18:51:33.149590,False,Chinese,Desktop,personal,38.73,True,Active
66,67,36.0,Other,2023-05-13 18:51:33.093458,UK,452.0,6333.0,348,36624,4728,3150,27,2025-03-27 18:51:33.149596,True,Spanish,Mobile,Personal,80.7,False,Active
67,68,38.0,Other,2024-05-03 00:00:00.000000,France,765.0,7765.0,483,35672,2722,4884,87,2024-10-16 18:51:33.149601,False,French,Tablet,Personal,65.72,True,Inactive
68,69,72.0,F,2021-01-25 18:51:33.093469,France,4582.0,5603.0,142,5988,5123,3127,89,2025-02-27 18:51:33.149607,False,English,Desktop,Business,8.69,True,Active
69,70,53.0,M,2024-05-21 18:51:33.093474,Brazil,2715.0,4474.0,314,26391,6939,1959,38,2025-03-24 18:51:33.149612,False,Spanish,Tablet,Creator,97.89,False,Active
70,71,41.0,Other,2025-10-07 18:51:33.093480,Brazil,1497.0,8647.0,486,38424,7397,2908,63,2025-04-08 18:51:33.149617,False,Chinese,Desktop,Business,27.12,True,Active
71,72,27.0,F,2019-05-16 18:51:33.093485,UK,3946.0,7175.0,193,42761,3998,4297,57,2024-11-11 18:51:33.149623,False,Chinese,Tablet,business,54.73,True,Inactive
72,73,,F,2024-10-17 18:51:33.093490,,,,9,27427,9421,4318,63,2025-02-23 18:51:33.149628,False,Chinese,Desktop,Business,86.92,False,Active
73,74,77.0,F,2025-03-12 18:51:33.093496,France,4925.0,6807.0,432,28393,3849,1152,25,2026-09-22 18:51:33.277672,True,German,Desktop,Creator,28.87,True,Active
74,75,21.0,F,2021-10-13 18:51:33.093501,India,,5594.0,138,20177,1448,1464,22,2025-06-07 18:51:33.149639,False,French,Mobile,Personal,23.09,True,Active
75,76,13.0,Other,2024-03-28 18:51:33.093509,,489.0,5019.0,29,1660,1004,4565,99,2024-11-08 18:51:33.149644,False,German,Desktop,Creator,55.53,True,Active
76,77,20.0,M,2018-01-29 18:51:33.093518,UK,2423.0,,278,40620,7184,2208,52,2024-12-01 18:51:33.149650,False,Spanish,Tablet,Personal,35.18,False,Active
77,78,75.0,F,2025-08-28 18:51:33.093528,India,1935.0,3358.0,277,13712,9970,1472,85,2025-08-02 18:51:33.149657,False,German,Desktop,Creator,69.19,False,Active
78,79,23.0,F,2018-01-04 00:00:00.000000,Canada,,759.0,434,38861,7868,4610,77,2025-01-13 18:51:33.149663,False,French,Desktop,Business,32.18,True,Suspended
79,80,20.0,Other,2024-01-17 18:51:33.093539,Canada,3296.0,,41,22841,211,3460,45,2025-02-06 18:51:33.149668,False,Spanish,Mobile,Creator,98.93,True,Active
80,81,47.0,F,2021-11-06 18:51:33.093545,###,4570.0,1366.0,227,18002,5947,881,47,2025-08-08 18:51:33.149674,False,French,Mobile,Business,28.28,True,Active
81,82,47.0,F,2022-06-19 18:51:33.093550,Canada,,8516.0,-100,49745,8369,2571,-50,2024-12-24 18:51:33.149679,False,French,Tablet,Business,63.74,True,Active
82,83,45.0,M,2020-12-27 18:51:33.093555,Germany,,876.0,428,2070,6108,3360,94,2025-01-06 18:51:33.149684,False,English,Tablet,Creator,27.15,False,Active
83,84,17.0,F,2018-05-13 18:51:33.093561,UK,,166.0,479,33415,8814,3560,35,2025-07-24 18:51:33.149690,False,English,Mobile,Creator,46.14,True,Active
84,85,53.0,Other,2018-03-14 18:51:33.093566,UK,3281.0,,416,1329,643,1050,42,2025-05-23 18:51:33.149695,False,English,Tablet,Creator,29.13,True,Active
85,86,40.0,M,2024-02-26 18:51:33.093572,Canada,3160.0,7463.0,422,47704,30,368,78,2025-08-23 18:51:33.149701,False,Chinese,Desktop,Business,41.59,True,Active
86,87,19.0,Other,2021-11-17 18:51:33.093577,India,,8772.0,200,22314,8195,1916,54,2025-01-07 18:51:33.149706,False,German,Tablet,Business,63.19,True,Active
87,88,24.0,M,2019-02-07 00:00:00.000000,USA,225.0,,320,32095,17,4810,60,2024-10-31 18:51:33.149711,False,English,Tablet,Business,70.58,False,Active
88,89,46.0,M,2020-07-03 18:51:33.093588,Brazil  ,4803.0,5695.0,209,39793,7162,3325,41,2025-03-13 18:51:33.149717,False,Spanish,Tablet,personal,23.57,False,Inactive
89,90,,F,2023-06-08 18:51:33.093593,France,1714.0,9991.0,177,1234,9553,4810,93,2024-12-14 18:51:33.149722,False,Chinese,Tablet,Personal,89.91,True,Active
90,91,60.0,F,2020-08-06 18:51:33.093599,Canada,4149.0,9301.0,367,26719,4327,4771,20,2025-04-06 18:51:33.149728,True,English,Tablet,Business,32.22,True,Active
91,92,35.0,F,2024-04-08 18:51:33.093604,USA,2243.0,8052.0,85,22061,1825,3432,65,2025-03-22 18:51:33.149733,False,German,Mobile,Business,6.18,False,Active
92,93,,male,2025-08-30 18:51:33.093610,###,2892.0,9364.0,47,38247,8239,2367,41,2025-02-14 18:51:33.149738,False,Chinese,Tablet,business,94.69,True,Active
93,94,49.0,,2017-11-14 18:51:33.093618,USA,2345.0,8963.0,292,2830,6206,1457,51,2025-02-11 18:51:33.149752,False,Chinese,Tablet,Business,27.23,True,Active
94,95,56.0,F,2025-04-16 18:51:33.093623,Canada,,927.0,205,9264,6413,2681,49,2025-01-18 18:51:33.149757,False,Spanish,Tablet,Creator,99.68,True,Active
95,96,47.0,M,2021-09-22 18:51:33.093630,India,1698.0,8797.0,341,7754,3161,3762,62,2025-07-06 18:51:33.149762,False,French,Desktop,Personal,54.73,True,Active
96,97,,F,2018-09-16 18:51:33.093642,France,4595.0,4100.0,416,3089,2047,23772,31,2024-10-30 18:51:33.149768,False,Spanish,Mobile,Creator,84.88,False,Active
97,98,59.0,F,2024-02-13 18:51:33.093650,Australia,2671.0,4094.0,389,39647,7766,1210,90,2025-01-20 18:51:33.149773,False,German,Tablet,Creator,10.84,True,Active
98,99,15.0,F,2023-10-12 00:00:00.000000,Australia,4301.0,6983.0,346,7173,8480,1726,46,2025-03-25 18:51:33.149779,False,German,Mobile,Personal,55.16,True,Active
99,100,13.0,F,2023-03-30 18:51:33.093674,USA,2927.0,7194.0,325,45906,7248,3321,45,2025-08-29 18:51:33.149784,True,German,Mobile,Personal,1.87,True,Active
100,101,17.0,M,2025-09-25 18:51:33.093684,Brazil,278.0,9193.0,-100,14287,8361,1220,-50,,False,Chinese,Tablet,Business,37.98,True,Active
101,102,999.0,F,2022-09-02 18:51:33.093690,###,845599.0,3973.0,427,31563,2943,4036,94,2024-10-30 18:51:33.149795,False,German,Mobile,Business,4.11,False,Active
102,103,,,2021-04-17 18:51:33.093695,Germany  ,,7744.0,305,37386,7026,3990,85,2024-10-19 18:51:33.149800,True,Spanish,Mobile,Business,46.22,True,Active
103,104,,Other,2017-11-29 18:51:33.093701,India,940.0,413.0,309,21886,4778,188,100,2025-09-06 18:51:33.149805,False,Chinese,Mobile,Creator,71.31,False,Active
104,105,27.0,F,2018-09-04 18:51:33.093706,France,2318.0,5928.0,190,31910,7645,846,80,2026-09-22 18:51:33.277672,False,Spanish,Desktop,Business,87.76,True,Active
105,106,54.0,F,2022-11-23 18:51:33.093712,Canada,4536.0,2014.0,360,38263,2190,4568,65,2024-10-23 18:51:33.149817,False,English,Mobile,Creator,66.51,False,Active
106,107,63.0,F,2022-06-14 18:51:33.093717,###,1783.0,9679.0,15,46153,8497,272,48,2024-10-15 18:51:33.149822,False,English,Tablet,Personal,72.52,True,Active
107,108,,M,2018-12-23 18:51:33.093722,Brazil,1875.0,8974.0,127,4914,6515,948,51,2025-04-19 18:51:33.149828,False,English,Mobile,Personal,21.78,True,Active
108,109,64.0,F,2019-09-07 18:51:33.093728,France,4643.0,8718.0,302,22180,8766,269,34,2025-02-03 18:51:33.149833,False,Spanish,Desktop,Personal,29.29,True,Inactive
109,110,16.0,F,2024-02-04 18:51:33.093737,UK,3226.0,0.0,184,23736,5223,4662,79,2025-08-21 18:51:33.149839,False,French,Mobile,Creator,93.78,True,Inactive
110,111,35.0,Other,2018-04-27 18:51:33.093742,Brazil,3728.0,8462.0,129,49239,9361,1306,47,2024-10-17 18:51:33.149845,False,Spanish,Desktop,Business,16.31,True,Active
111,112,27.0,M ,2018-06-09 18:51:33.093748,India,,2531.0,164,20835,0,2722,46,2025-05-15 18:51:33.149850,False,English,Tablet,Creator,99.07,True,Active
112,113,-50.0,M,2017-12-23 18:51:33.093753,USA,709438.0,1071.0,92,17472,6871,858,60,2025-06-08 18:51:33.149856,False,French,Desktop,Personal,84.05,False,Active
113,114,,Other,2024-12-04 18:51:33.093759,India,3970.0,8885.0,-5000,13584,5244,1780,200,2025-02-12 18:51:33.149861,False,Chinese,Tablet,Business,80.24,True,Inactive
114,115,48.0,,2020-02-08 18:51:33.093764,USA,2066.0,,212,49805,7203,2875,52,2024-11-06 18:51:33.149866,False,German,Mobile,Personal,80.84,True,Inactive
115,116,25.0,,2019-02-27 18:51:33.093770,Australia,424.0,6516.0,140,35195,241,4893,63,2025-09-14 18:51:33.149871,False,French,Mobile,Creator,37.26,True,Active
116,117,44.0,F,2024-05-05 18:51:33.093775,UK,2105.0,7905.0,114,34852,5073,3161,69,2025-02-27 18:51:33.149877,False,English,Tablet,Creator,79.27,True,Active
117,118,71.0,,2019-07-18 18:51:33.093780,Germany,2470.0,1995.0,320,8930,2537,4454,29,2025-06-28 18:51:33.149882,False,French,Desktop,Creator,35.43,False,Active
118,119,40.0,M,2021-09-29 18:51:33.093786,UK,3794.0,3577.0,476,32597,4860,379,43,2025-02-26 18:51:33.149887,True,German,Mobile,Personal,36.63,True,Inactive
119,120,78.0,M,2019-02-20 18:51:33.093791,Canada,2891.0,6209.0,-100,35767,5284,2214,-50,2025-01-03 18:51:33.149892,False,Chinese,Mobile,Creator,79.39,True,Active
120,121,54.0, F,2023-05-08 18:51:33.093798,India,1683.0,1709.0,6,4711,5063,29947,39,,False,Spanish,Desktop,Personal,39.04,True,Inactive
121,122,57.0,Other,2020-07-05 18:51:33.093804,Germany,,2099.0,414,28526,2641,569,44,2025-05-18 18:51:33.149903,False,French,Mobile,Business,80.8,True,Active
122,123,74.0,F,2020-04-13 18:51:33.093809,India,3147.0,6117.0,446,27782,1835,3904,74,,False,English,Tablet,Creator,1.13,True,Active
123,124,69.0,Other,2024-07-07 18:51:33.093815,France,4061.0,8661.0,428,31945,5195,125,62,2025-08-26 18:51:33.149914,False,German,Tablet,Personal,17.16,True,Active
124,125,-50.0,F,2019-03-05 18:51:33.093820,USA,4051.0,2290.0,55,20813,8524,344,72,2025-06-28 18:51:33.149919,False,French,Tablet,Business,405.90979538960426,True,Active
125,126,40.0,Other,2019-11-21 18:51:33.093826,Canada,3651.0,8528.0,191,35234,3917,4764,69,2025-04-12 18:51:33.149924,False,French,Mobile,creator,62.95,True,Active
126,127,40.0,F,2024-08-10 18:51:33.093831,###,4161.0,7970.0,21,30957,3762,4025,74,2025-05-16 18:51:33.149930,False,French,Tablet,business,46.81,False,Active
127,128,56.0,,2024-06-30 18:51:33.093837,India,4910.0,755.0,318,17264,8968,766,32,2025-05-15 18:51:33.149935,False,English,Desktop,Creator,58.01,False,Active
128,129,42.0, F,2023-01-01 18:51:33.093842,Australia,1174.0,9911.0,79,30115,9687,3497,68,2025-05-04 18:51:33.149940,False,French,Tablet,Creator,40.21,True,Active
129,130,74.0,FEMALE,2021-05-21 18:51:33.093849,Canada,2949.0,7212.0,283,32197,369,4635,29,2025-01-26 18:51:33.149947,False,French,Mobile,Creator,13.28,True,Suspended
130,131,74.0,Other,2023-05-26 00:00:00.000000,Brazil,1809.0,2099.0,427,10547,6480,2258,30,2025-01-14 18:51:33.149952,False,Chinese,Desktop,Personal,89.12,True,Active
131,132,13.0,Unknown,2018-01-24 18:51:33.093860,India,436.0,,102,24334,8023,3048,97,2024-11-23 18:51:33.149958,False,English,Mobile,Personal,75.41,True,Active
132,133,39.0,Other,2018-04-24 18:51:33.093865,USA,,,216,27796,580,2313,39,2025-09-15 18:51:33.149963,False,French,Desktop,Business,69.79,True,Active
133,134,74.0,,2017-12-20 00:00:00.000000,###,234.0,2993.0,141,46580,9833,2301,91,2025-02-22 18:51:33.149968,False,German,Tablet,business,84.38,True,Active
134,135,15.0,F,2023-05-10 18:51:33.093876,,4770.0,246.0,497,39363,1562,29,98,2025-09-21 18:51:33.149974,False,Spanish,Tablet,Creator,74.57,True,Active
135,136,39.0,M,2018-08-21 18:51:33.093882,UK  ,,7562.0,-5000,29193,4487,3376,200,2025-10-05 18:51:33.149979,False,Spanish,Desktop,Business,51.58,True,Active
136,137,21.0,M,2022-04-17 18:51:33.093887,UK,,6977.0,402,37804,2053,3524,95,2026-09-22 18:51:33.277672,False,Chinese,Desktop,Creator,13.71,True,Active
137,138,74.0,F,2024-11-15 18:51:33.093893,USA,4856.0,7506.0,443,41399,5508,1819,36,2025-02-24 18:51:33.149989,True,English,Tablet,Business,10.74,False,Active
138,139,49.0,F,2020-06-04 18:51:33.093898,Germany,3561.0,8603.0,76,18430,8629,4883,52,2024-10-28 18:51:33.149994,False,German,Mobile,Personal,3.14,False,Active
139,140,63.0,F,2024-03-04 18:51:33.093904,Brazil,2474.0,7095.0,257,34962,3188,2015,39,2025-06-21 18:51:33.150000,False,English,Tablet,Creator,49.17,True,Active
140,141,56.0,F,2025-03-25 18:51:33.093909,UK,226.0,3367.0,306,2746,1990,24873,65,2025-04-15 18:51:33.150005,False,Spanish,Mobile,Business,15.95,True,Active
141,142,,,2024-07-15 18:51:33.093914,India,2610.0,2689.0,227,15965,3747,1931,50,2025-05-29 18:51:33.150010,False,German,Tablet,Personal,27.3,True,Active
142,143,71.0,Other,2023-07-09 18:51:33.093920,USA,2275.0,,77,6513,3062,4125,70,2024-11-01 18:51:33.150016,False,,Desktop,Business,87.79,True,Inactive
143,144,44.0,M,2025-06-23 18:51:33.093925,Canada,,1468.0,161,27432,3967,4256,38,2025-06-12 18:51:33.150021,False,Spanish,Mobile,Business,60.76,True,Active
144,145,64.0,F,2017-10-22 18:51:33.093931,Canada,1815.0,232.0,81,33661,3381,3721,81,2025-08-20 18:51:33.150026,False,English,Tablet,Creator,98.54,True,Inactive
145,146,,Other,2023-04-18 18:51:33.093936,Australia,3854.0,6885.0,215,7400,6305,1446,63,2024-11-16 18:51:33.150032,False,French,Tablet,Creator,95.0,True,Inactive
146,147,70.0,male,2020-12-04 18:51:33.093942,,3995.0,8011.0,477,49811,7455,3915,96,2025-07-07 18:51:33.150037,False,Chinese,Mobile,Creator,44.21,True,Inactive
147,148,64.0,M,2021-06-27 18:51:33.093947,UK,1410.0,7140.0,50,32891,4658,1211,57,2025-07-14 18:51:33.150042,False,German,Desktop,Business,65.75,True,Active
148,149,24.0,M,2022-05-28 18:51:33.093952,Germany,4764.0,1886.0,402,49399,1666,3012,68,2025-10-03 18:51:33.150047,False,Chinese,Desktop,Business,94.82,True,Active
149,150,51.0,M,2020-01-31 18:51:33.093960,France,3379.0,309.0,163,26061,5885,3620,84,2025-02-13 18:51:33.150054,False,German,Tablet,Creator,78.45,True,Active
150,151,14.0,Other,2024-04-05 18:51:33.093966,UK,1845.0,8080.0,250,34173,7508,1534,30,2025-01-22 18:51:33.150059,True,Spanish,Desktop,Business,65.59,False,Active
151,152,,Other,2020-07-26 18:51:33.093971,Germany,1337.0,9135.0,212,39871,3499,3277,46,2025-03-29 18:51:33.150065,False,,Tablet,Personal,59.25,True,Active
152,153,68.0, F,2025-06-27 18:51:33.093976,UK,117.0,9099.0,210,17513,5383,3442,77,2024-11-03 18:51:33.150070,False,German,Desktop,Creator,54.24,False,Active
153,154,71.0,F,2019-07-22 18:51:33.093982,Canada,1868.0,2748.0,373,43889,825,2521,83,2026-09-22 18:51:33.277672,False,English,Mobile,Business,13.87,True,Suspended
154,155,14.0,F,2018-11-03 18:51:33.093987,Germany,2097.0,1600.0,409,21157,891,1905,84,2025-01-05 18:51:33.150081,False,Chinese,Tablet,Business,10.62,False,Inactive
155,156,14.0,M,2019-09-07 18:51:33.093992,"Canada
",1813.0,545.0,-100,26049,3418,3550,200,2024-12-16 18:51:33.150086,False,Chinese,Desktop,Personal,24.06,False,Active
